Sr No,Date,Startup,Vertical,SubVertical,City,Investors,Investment Round,Amount in INR(cr)
2757,2015-05-04,spoonjoy,Online Food Delivery,Unknown,bangalore,saif partners,seed funding,8.66
2758,2015-05-05,seed schools,Affordable Education,Unknown,hyderabad,acumen fund,seed funding,5.63
2759,2015-05-05,ignis careers,Career Development,Unknown,hyderabad,acumen fund,seed funding,2.16
2760,2015-05-05,square yards,Real Estate Advisory,Unknown,gurgaon,undisclosed investors,private equity,51.96
2761,2015-05-05,fintellix,Banking Analytics Platform,Unknown,bangalore,"idg ventures, sequoia capital",private equity,129.9
2762,2015-05-05,customer360,Customer Engagement Platform,Unknown,mumbai,vishwas patel,seed funding,
2763,2015-05-06,delhivery,E-commerce Logistics,Unknown,gurgaon,"tiger global management, multiples alternate asset management, ne venture partners, times internet",private equity,736.1
2764,2015-05-06,swiggy,Online Food Delivery,Unknown,bangalore,norwest venture partners,private equity,129.9
2765,2015-05-07,uniphore,Speech Recognition Solutions,Unknown,chennai,"idg ventures, kris gopalakrishnan",private equity,
2766,2015-05-07,box8,Online Food Delivery,Unknown,mumbai,mayfield ventures,private equity,30.31
2767,2015-05-07,toppr,Online Education Platform,Unknown,mumbai,"fidelity growth partners india, saif partners, helion ventures",private equity,86.6
2768,2015-05-07,vedantu,Online Education Platform,Unknown,bangalore,"accel partners, tiger global management",private equity,43.3
2769,2015-05-08,buyhatke,Online Product Comparison,Unknown,bangalore,"s.gopalakrishnan, beenos",seed funding,8.66
2770,2015-05-08,kleverkid,Online Education Platform,Unknown,delhi,aarin capital partners,seed funding,
2771,2015-05-08,uniken,Online Security Platform,Unknown,pune,e ventures,private equity,17.32
2772,2015-05-08,grandopinion,Online Medical Diagnostic,Unknown,delhi,florida based angel investor,seed funding,1.3
2773,2015-05-08,healthifyme,Health & Fitness App,Unknown,bangalore,micromax informatics,private equity,
2774,2015-05-12,zapstitch,Cloud Data Integration Platform,Unknown,bangalore,"helion venture partners, orios venture partners",private equity,17.32
2775,2015-05-12,wassup,Mobile Laundry Cleaning Service,Unknown,chennai,"arun chandra mohan, praveen sinha",private equity,17.32
2776,,mobiefit,Mobile Fitness App,Unknown,goa,prototyze,seed funding,
2777,,plancess,Online Education Platform,Unknown,mumbai,"rajendra gogri, chandrakant gogri",seed funding,17.32
2778,2015-05-12,workhorse,Service-On-Demand Mobile App,Unknown,mumbai,undisclosed investors,seed funding,
2779,2015-05-13,innovaccer,Intelligent Data Analytics,Unknown,noida,"rajan anandan, teru sato, aneesh reddy, venkatesh valluri",seed funding,
2780,2015-05-13,mycuteoffice,Online Office Rental,Unknown,mumbai,lead angels,seed funding,
2781,2015-05-14,indianroots,Lifestyle E-commerce Portal,Unknown,gurgaon,kjs group,private equity,43.3
2782,2015-05-14,redpolka,Online Fashion Aggregator,Unknown,mumbai,undisclosed investors,seed funding,2.16
2783,2015-05-15,venturesity,Online Job Skills Showcase,Unknown,bangalore,"phanindra sama, jay sethuram, hemant kanakia, ravi trivedi",seed funding,2.34
2784,2015-05-18,thebetterindia,Online News Media,Unknown,bangalore,mohandas pai,seed funding,
2785,2015-05-18,awaaz de,Enterprise Communication Platform,Unknown,ahmedabad,samir shah,seed funding,
2786,2015-05-19,chaayos,Offline Tea Chain,Unknown,delhi,tiger global management,private equity,8.66
2787,2015-05-19,akosha,Business Messaging App,Unknown,delhi,sequoia capital,private equity,138.56
2788,2015-05-19,cooey,Health Mobile App,Unknown,bangalore,subhash goyal,seed funding,4.07
2789,2015-05-19,meetuniv,Online Ed-Tech Platform,Unknown,noida,peesh venture capital,seed funding,8.66
2790,2015-05-19,inspirock,Online Travel Planning,Unknown,undisclosed,makemytrip innovation fund,private equity,
2791,2015-05-19,crown-it,Hyperlocal Mobile Marketplace,Unknown,gurgaon,"accel partners, helion venture partners",private equity,47.63
2792,2015-05-19,trucksfirst,Trucking Logistic Operations,Unknown,gurgaon,saif partners,private equity,86.6
2793,2015-05-20,lookup,B2C Messaging App,Unknown,bangalore,biz stone,private equity,25.98
2794,2015-05-21,sunterrace,Rooftop Solar Plants,Unknown,delhi,sunergy investors,private equity,
2795,2015-05-22,nudgespot,Customer Engagement Platform,Unknown,bangalore,"kae capital, anoop goyal, mike shah, va sastry",seed funding,5.41
2796,2015-05-22,cardekho,Online Car Portal,Unknown,jaipur,hdfc bank,private equity,
2797,2015-05-22,eveningflavors,Online Table Reservation,Unknown,bangalore,sandiep shrivatsava,seed funding,4.33
2798,2015-05-25,razorpay,Online Payment Gateway,Unknown,bangalore,punit soni,seed funding,
2799,2015-05-25,zenparent,Parents Focused Web Content,Unknown,bangalore,i2india ventures,seed funding,4.33
2800,2015-05-25,newgen payments,Payments Solution Provider,Unknown,delhi,jan manten,seed funding,
2801,2015-05-26,urbanpro,On-Demand Service Marketplace,Unknown,bangalore,nirvana venture advisors,private equity,17.32
2802,2015-05-26,goodbox,On-Demand Business Messaging,Unknown,bangalore,manipal group,seed funding,1.73
2803,2015-05-26,renderlogy,Online Home D,Unknown,hyderabad,astarc ventures,private equity,8.66
2804,2015-05-27,postman,Api Workflow Platform,Unknown,bangalore,ne venture partners,seed funding,8.66
2805,2015-05-27,casa2inns,Affordable Hotel Booking Online,Unknown,delhi,"accel partners, kalaari capital",private equity,43.3
2806,2015-05-27,fleetrover,Logistics Intelligence,Unknown,goa,"tim chen, sanjay venkat",seed funding,1.56
2807,2015-05-28,thekarrier,Last Mile Logistics,Unknown,bangalore,"sol primero, outbox ventures, nikunj jain",seed funding,2.08
2808,2015-05-28,zoomcar,Self-Driven Car Rental,Unknown,bangalore,sequoia capital,private equity,43.3
2809,2015-05-28,truweight,Weight Management Service,Unknown,hyderabad,kalaari capital,private equity,
2810,2015-05-30,ather energy,Electric Scooter Manufacturer,Unknown,bangalore,tiger global,private equity,103.92
2811,2015-04-03,swiggy,Online Food Delivery,Unknown,bangalore,"accel partners, saif partners",private equity,17.32
2812,2015-04-04,bluegape,Web Content Publishing,Unknown,gurgaon,"rudy gopalakrishnan, ah ventures",seed funding,1.73
2813,2015-04-04,keeptrax,Location Based App,Unknown,out of india,undisclosed,seed funding,8.66
2814,2015-04-06,instalively,Video Streaming,Unknown,delhi,"rajesh sawheny , rajan anandan, amit ranjan, niraj singh, aecal, meraevents.",seed funding,1.04
2815,2015-04-07,pricejugaad,Price Comparison,Unknown,hyderabad,"amit tyagi, sandeep acharya & others",seed funding,1.43
2816,2015-04-07,quikr,Online Classifieds,Unknown,mumbai,"tiger global, investment ab kinnevik, steadview capital",private equity,1299.0
2817,2015-04-07,pressplay,Travel Entertainment,Unknown,delhi,"sequoia capital, jason hirschhorn, jarett posner, and amit bhatiani",seed funding,19.05
2818,2015-04-07,loginext,Logistics Tech,Unknown,mumbai,"ajit surana, sanjay mehta",seed funding,
2819,2015-04-08,firstcry,E-commerce,Online Pharmacy,pune,"silicon valley ventures, nea ventures, valiant capital, idg ventures india, saif partners, vertex ventures",private equity,86.6
2820,2015-04-08,mobikwik,Digital Mobile Wallet,Unknown,gurgaon,"tree line asia, cisco investments, american e, sequoia capital",private equity,216.5
2821,2015-04-08,olacabs,Cab Aggregator,Unknown,bangalore,"dst global, steadview capital, tiger global, accel partners & others",private equity,3464.0
2822,2015-04-09,gadgetwood,Device Repair Svcs,Unknown,delhi,"ajai chowdhry, ashvin chadha, yogesh bansal,nnitin singhal & others",seed funding,1.73
2823,2015-04-09,bonhomia,Premium Beverages,Unknown,delhi,"kanwaljit singh, shripad nadkarni, sarvesh shahra & others",seed funding,17.32
2824,2015-04-09,changer mints,Digital Mobile Wallet,Unknown,kolkata,hyderabad based investor,seed funding,1.43
2825,2015-04-09,urban ladder,Online Furnishingnecommerce,Unknown,bangalore,"sequoia capital, tr capital, steadview capital, saif partners, kalaari capital",private equity,433.0
2826,2015-04-09,purple squirrel,Ed-Tech,Online Education Platform,mumbai,"matrix partners india, india quotient",private equity,
2827,2015-04-10,whatfix,Interactive How-To Guides,Unknown,bangalore,"helion venture partner, powerhouse ventures, gsf and other angel investors",seed funding,7.79
2828,2015-04-10,immi life,Mobile Health Tech,Unknown,chennai,unitus seed fund,seed funding,
2829,2015-04-11,zomato,Restaurant Reviews,Unknown,gurgaon,info edge (india),private equity,216.5
2830,2015-04-13,zopnow,Online Grocer,Unknown,bangalore,"dragoneer investment, accel partners, qualcomm ventures, times internet",private equity,86.6
2831,2015-04-13,nayi disha,Ed-Tech,Online Education Platform,delhi,"ajay relan,",seed funding,2.6
2832,,the porter,Logistics Tech,Unknown,mumbai,kae capital,seed funding,4.33
2833,2015-04-13,commeasure,Online Hotel Booking,Unknown,noida,jungle ventures,seed funding,8.66
2834,2015-04-13,capricoast,Online Kitchen Furniture,Unknown,bangalore,accel partners india,seed funding,10.82
2835,2015-04-14,localoye,Hyper-Local Online Services,Unknown,mumbai,"tiger global management, lightspeed venture partners",private equity,43.3
2836,2015-04-15,grofers,Hyper-Local Onlinemobile Grocery,Unknown,gurgaon,"tiger global, sequoia capital",private equity,303.1
2837,2015-04-15,peppertap,Hyper-Local Onlinemobile Grocery,Unknown,gurgaon,"saif partners, sequoia capital",private equity,86.6
2838,2015-04-15,policybazaar,Online Policy Aggregator,Unknown,gurgaon,"premjiinvest, tiger global, ribbit capital",private equity,346.4
2839,2015-04-16,urbanclap,Hyperlocal Mobile Services Marketplace,Unknown,delhi,"saif partners, accel partners, kunal bahl, rohit bansal",seed funding,13.86
2840,2015-04-16,taskbob,Ondemandnmobile Handyman Services,Unknown,mumbai,"orios venture partners, mayfield india",seed funding,10.39
2841,2015-04-17,robosoft,Mobile App Development,Unknown,udupi,"ascent capital, kalaari capital",private equity,103.92
2842,2015-04-18,doormint,On-Demand Handyman Services,Unknown,mumbai,powai lake ventures,seed funding,
2843,2015-04-20,vyomo,Beauty & Wellness Mobile App,Unknown,gurgaon,youwecan ventures,seed funding,
2844,2015-04-20,pastiwala,Material Collection & Recycling,Unknown,vadodara,agnus capital,private equity,34.64
2845,2015-04-20,1mg (healthkartplus),Online Pharmacy & Drug Db,Unknown,gurgaon,"deep kalra, sequoia capital, omidyar network, intel capital & kae capital",private equity,51.96
2846,2015-04-20,freshdesk,Online Mobile Customer Support,Unknown,chennai,"tiger global, google capital & accel partners",private equity,433.0
2847,2015-04-20,sulekha,Online Classifieds & Listings,Unknown,chennai,gic ventures,private equity,242.48
2848,2015-04-22,findyahan,Hyperlocal Services Marketplace,Unknown,delhi,the phoenix fund,private equity,
2849,2015-04-22,eat.shop.love,Fashion E-commerce,Unknown,bangalore,undisclosed investor,private equity,30.31
2850,2015-04-22,avanti learning,Private Coaching Centers,Unknown,delhi,"michael & susan dell foundation, pearson learning fund",private equity,12.99
2851,2015-04-23,simplilearn,Online Certification Courses,Unknown,bangalore,"mayfield ventures, kalaari capital, helion ventures",private equity,129.9
2852,2015-04-23,craftstvilla,Ethnic Product E-commerce,Unknown,mumbai,"sequoia capital, ne venture partners, lightspeed ventures, gfc",private equity,155.88
2853,2015-04-23,headout,Last Minute Travel Deals Mobile Marketplace,Unknown,out of india,"version one ventures, 500 startups, ne venture partners and arena ventures",seed funding,15.59
2854,2015-04-23,happay,Usiness E Management,Unknown,bangalore,angelprime,seed funding,4.33
2855,2015-04-23,jugnoo,Auto Rickshaw Based Logistics,Unknown,chandigarh,"rakesh mathur, vikas taneja & others",seed funding,8.66
2856,2015-04-23,eazydiner,Restaurant Reservation App,Unknown,delhi,"deepak shahdadpuri, gulpreet kohli",seed funding,
2857,2015-04-23,phone warrior,Spam Call Block App,Unknown,delhi,lightspeed ventures,seed funding,
2858,2015-04-24,coverfox,Online Insurance Aggregator,Unknown,mumbai,"accel us, accel india, saif partners.",private equity,103.92
2859,2015-04-27,torqus,Restaurant Management Platform,Unknown,pune,s s mukherji & others,seed funding,3.03
2860,2015-04-27,grab,Food Logistics & Delivery,Unknown,mumbai,"oliphans capital, haresh chawla",seed funding,8.66
2861,2015-04-27,logicroots,Interactive Educational Games,Unknown,jaipur,"ah ventures, calcutta angels, 91springboard",seed funding,3.46
2862,2015-04-27,gibbs,Clean Tech,Unknown,delhi,infuse ventures fund,private equity,
2863,2015-04-28,babajobs,Grey Collar Job Board,Unknown,bangalore,seek ltd & affiliates,private equity,86.6
2864,2015-04-28,urban ladder,Online Furniture E-commerce,Unknown,bangalore,"anand rajaraman, venky harinarayan",private equity,
2865,2015-04-28,jay robotix,Robotic Program Learning,Unknown,hyderabad,cross border angels & others,seed funding,2.16
2866,2015-04-28,naaptol,Tele-Shopping E-commerce,Unknown,mumbai,mitsui & co & e investors,private equity,186.19
2867,2015-04-29,reglobe,Used Gadgets Buy Refurbishing,Unknown,gurgaon,"bessemer ventures, blume ventures",seed funding,8.66
2868,2015-04-29,icertis,Cloud Enterprise Software,Unknown,out of india,"greycroft partners, fidelity growth partners",private equity,51.96
2869,2015-04-29,tracxn,Startup Analytics Platform,Unknown,bangalore,saif partners,private equity,30.31
2870,2015-04-29,dazo,Mobile Food Ordering App,Unknown,bangalore,"sumit jain, aprameya radhakrishna, alok goel, rajan anandan, amit agrawal, vinay goel, gaurav munjal, ashish dev kapur",seed funding,
2871,2015-04-29,tradelab,Financial Markets Software,Unknown,bangalore,rainmatter,seed funding,3.46
2872,2015-04-29,piqube,Hiring Analytics Platform,Unknown,chennai,the hr fund,seed funding,4.33
2873,2015-04-29,travel triangle,Online Travel Marketplace,Unknown,noida,"bessemer venture partners, saif partners",private equity,69.28
2874,2015-03-02,trulymadly,Others,Unknown,undisclosed,"helion venture partners, kae capital",private equity,47.63
2875,2015-03-02,instalively,Others,Unknown,undisclosed,group of angel investors,seed funding,1.04
2876,2015-03-03,vserv,Others,Unknown,undisclosed,"maverick capital, idg ventures india",private equity,129.9
2877,2015-03-03,intruo,Others,Unknown,undisclosed,"ashutosh lawania, alok goel & others",seed funding,
2878,2015-03-05,niffler,Others,Unknown,undisclosed,saif partners,seed funding,8.66
2879,2015-03-05,customfurnish,Others,Unknown,undisclosed,"madhukar gangadi, satish reddy, srini raju, srini koppolu & sidbi",private equity,21.65
2880,2015-03-06,mapmygenome,Others,Unknown,undisclosed,rajan anandan & other angel investors,private equity,10.39
2881,2015-03-09,crowdfire (formerly justunfollow),Others,Unknown,undisclosed,kalaari capital,private equity,21.65
2882,2015-03-09,bite club,Others,Unknown,undisclosed,"powai lake ventures, aneesh reddy, ashish kashyap, alok mittal",seed funding,4.33
2883,2015-03-10,localbanya,Others,Unknown,undisclosed,shrem strategies,private equity,
2884,2015-03-11,appedo,Others,Unknown,undisclosed,undisclosed investors,seed funding,8.66
2885,2015-03-11,fitraq,Others,Unknown,undisclosed,tarun arora,seed funding,1.3
2886,2015-03-11,chargebee,Others,Unknown,undisclosed,"tiger global, accel partners",private equity,43.3
2887,2015-03-11,groupon india,Others,Unknown,undisclosed,sequoia capital,private equity,173.2
2888,2015-03-12,process 9,Others,Unknown,undisclosed,"ian ventures, alok sharma, kris gopalakrishnan, saurabh srivastava, ajai chowdhry",seed funding,
2889,2015-03-12,moonfrog labs,Others,Unknown,undisclosed,"tiger global, sequoia capital.",private equity,129.9
2890,2015-03-13,foodpanda,Others,Unknown,undisclosed,rocket internet ag & others,private equity,952.6
